class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
F1-e,F2-b,F3-s,F4-y,F5-t,F6-a,F7-f,F8-c,F9-b,F10-w,F11-e,F12-c,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-n,F22-s,F23-g
F1-p,F2-x,F3-y,F4-w,F5-t,F6-p,F7-f,F8-c,F9-n,F10-k,F11-e,F12-e,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-n,F22-v,F23-u
F1-e,F2-x,F3-f,F4-n,F5-f,F6-n,F7-f,F8-w,F9-b,F10-n,F11-t,F12-e,F13-s,F14-f,F15-w,F16-w,F17-p,F18-w,F19-o,F20-e,F21-k,F22-a,F23-g
F1-e,F2-s,F3-f,F4-g,F5-f,F6-n,F7-f,F8-c,F9-n,F10-k,F11-e,F12-e,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-n,F22-y,F23-u
F1-e,F2-f,F3-f,F4-w,F5-f,F6-n,F7-f,F8-w,F9-b,F10-k,F11-t,F12-e,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-e,F21-n,F22-a,F23-g
F1-p,F2-x,F3-s,F4-n,F5-t,F6-p,F7-f,F8-c,F9-n,F10-n,F11-e,F12-e,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-k,F22-s,F23-g
F1-p,F2-x,F3-y,F4-w,F5-t,F6-p,F7-f,F8-c,F9-n,F10-n,F11-e,F12-e,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-n,F22-s,F23-u
F1-p,F2-x,F3-s,F4-n,F5-t,F6-p,F7-f,F8-c,F9-n,F10-k,F11-e,F12-e,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-n,F22-s,F23-u
F1-e,F2-b,F3-s,F4-y,F5-t,F6-a,F7-f,F8-c,F9-b,F10-k,F11-e,F12-c,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-n,F22-s,F23-m
F1-p,F2-x,F3-y,F4-n,F5-t,F6-p,F7-f,F8-c,F9-n,F10-n,F11-e,F12-e,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-n,F22-v,F23-g
F1-e,F2-b,F3-y,F4-y,F5-t,F6-l,F7-f,F8-c,F9-b,F10-k,F11-e,F12-c,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-n,F22-s,F23-m
F1-e,F2-b,F3-y,F4-w,F5-t,F6-a,F7-f,F8-c,F9-b,F10-w,F11-e,F12-c,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-n,F22-n,F23-m
F1-e,F2-b,F3-s,F4-w,F5-t,F6-l,F7-f,F8-c,F9-b,F10-g,F11-e,F12-c,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-k,F22-s,F23-m
F1-p,F2-f,F3-s,F4-w,F5-t,F6-p,F7-f,F8-c,F9-n,F10-n,F11-e,F12-e,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-n,F22-v,F23-g
F1-e,F2-x,F3-y,F4-y,F5-t,F6-a,F7-f,F8-c,F9-b,F10-n,F11-e,F12-c,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-n,F22-n,F23-m
F1-e,F2-x,F3-y,F4-w,F5-t,F6-l,F7-f,F8-c,F9-b,F10-w,F11-e,F12-c,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-n,F22-n,F23-m
F1-e,F2-f,F3-f,F4-n,F5-f,F6-n,F7-f,F8-c,F9-n,F10-k,F11-e,F12-e,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-k,F22-y,F23-u
F1-e,F2-x,F3-s,F4-y,F5-t,F6-a,F7-f,F8-w,F9-n,F10-n,F11-t,F12-b,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-n,F22-v,F23-d
F1-e,F2-b,F3-s,F4-y,F5-t,F6-l,F7-f,F8-c,F9-b,F10-g,F11-e,F12-c,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-n,F22-n,F23-m
F1-p,F2-x,F3-y,F4-w,F5-t,F6-p,F7-f,F8-c,F9-n,F10-k,F11-e,F12-e,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-n,F22-s,F23-u
F1-e,F2-x,F3-y,F4-y,F5-t,F6-l,F7-f,F8-c,F9-b,F10-n,F11-e,F12-c,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-n,F22-n,F23-m
F1-e,F2-x,F3-y,F4-n,F5-t,F6-l,F7-f,F8-c,F9-b,F10-p,F11-e,F12-r,F13-s,F14-y,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-n,F22-y,F23-p
F1-e,F2-b,F3-y,F4-y,F5-t,F6-l,F7-f,F8-c,F9-b,F10-n,F11-e,F12-c,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-n,F22-s,F23-m
F1-e,F2-x,F3-f,F4-y,F5-t,F6-l,F7-f,F8-w,F9-n,F10-w,F11-t,F12-b,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-n,F22-v,F23-d
F1-e,F2-s,F3-f,F4-g,F5-f,F6-n,F7-f,F8-c,F9-n,F10-k,F11-e,F12-e,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-k,F22-v,F23-u
F1-p,F2-x,F3-y,F4-n,F5-t,F6-p,F7-f,F8-c,F9-n,F10-w,F11-e,F12-e,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-n,F22-s,F23-u
F1-e,F2-x,F3-f,F4-y,F5-t,F6-a,F7-f,F8-w,F9-n,F10-p,F11-t,F12-b,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-n,F22-v,F23-d
F1-e,F2-b,F3-s,F4-y,F5-t,F6-l,F7-f,F8-c,F9-b,F10-k,F11-e,F12-c,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-k,F22-s,F23-m
F1-e,F2-b,F3-y,F4-y,F5-t,F6-a,F7-f,F8-c,F9-b,F10-n,F11-e,F12-c,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-n,F22-s,F23-g
F1-e,F2-x,F3-y,F4-y,F5-t,F6-l,F7-f,F8-c,F9-b,F10-n,F11-e,F12-r,F13-s,F14-y,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-k,F22-y,F23-p
F1-e,F2-x,F3-f,F4-n,F5-f,F6-n,F7-f,F8-c,F9-n,F10-g,F11-e,F12-e,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-k,F22-y,F23-u
F1-p,F2-x,F3-y,F4-w,F5-t,F6-p,F7-f,F8-c,F9-n,F10-p,F11-e,F12-e,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-n,F22-v,F23-g
F1-e,F2-x,F3-s,F4-y,F5-t,F6-a,F7-f,F8-c,F9-b,F10-w,F11-e,F12-c,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-k,F22-n,F23-m
F1-e,F2-x,F3-y,F4-w,F5-t,F6-a,F7-f,F8-c,F9-b,F10-n,F11-e,F12-c,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-n,F22-n,F23-g
F1-e,F2-x,F3-y,F4-y,F5-t,F6-l,F7-f,F8-c,F9-b,F10-k,F11-e,F12-c,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-k,F22-s,F23-m
F1-e,F2-x,F3-s,F4-w,F5-t,F6-l,F7-f,F8-c,F9-b,F10-w,F11-e,F12-c,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-n,F22-n,F23-m
F1-e,F2-x,F3-y,F4-y,F5-t,F6-l,F7-f,F8-c,F9-b,F10-n,F11-e,F12-r,F13-s,F14-y,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-n,F22-s,F23-p
F1-e,F2-f,F3-y,F4-y,F5-t,F6-l,F7-f,F8-c,F9-b,F10-w,F11-e,F12-r,F13-s,F14-y,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-k,F22-s,F23-p
F1-e,F2-x,F3-y,F4-n,F5-t,F6-a,F7-f,F8-c,F9-b,F10-w,F11-e,F12-r,F13-s,F14-y,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-k,F22-s,F23-g
F1-e,F2-x,F3-s,F4-w,F5-t,F6-l,F7-f,F8-c,F9-b,F10-k,F11-e,F12-c,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-k,F22-s,F23-g
F1-e,F2-b,F3-s,F4-w,F5-t,F6-l,F7-f,F8-c,F9-b,F10-k,F11-e,F12-c,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-n,F22-n,F23-m
F1-p,F2-x,F3-y,F4-n,F5-t,F6-p,F7-f,F8-c,F9-n,F10-k,F11-e,F12-e,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-n,F22-v,F23-u
F1-p,F2-x,F3-s,F4-w,F5-t,F6-p,F7-f,F8-c,F9-n,F10-k,F11-e,F12-e,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-k,F22-v,F23-u
F1-e,F2-b,F3-y,F4-y,F5-t,F6-a,F7-f,F8-c,F9-b,F10-w,F11-e,F12-c,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-k,F22-s,F23-m
F1-e,F2-f,F3-f,F4-g,F5-f,F6-n,F7-f,F8-w,F9-b,F10-n,F11-t,F12-e,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-e,F21-n,F22-a,F23-g
F1-e,F2-b,F3-s,F4-w,F5-t,F6-a,F7-f,F8-c,F9-b,F10-w,F11-e,F12-c,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-n,F22-n,F23-g
F1-e,F2-x,F3-s,F4-y,F5-t,F6-l,F7-f,F8-c,F9-b,F10-k,F11-e,F12-c,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-k,F22-n,F23-g
F1-e,F2-x,F3-y,F4-n,F5-t,F6-a,F7-f,F8-c,F9-b,F10-p,F11-e,F12-r,F13-s,F14-y,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-k,F22-y,F23-p
F1-e,F2-s,F3-f,F4-g,F5-f,F6-n,F7-f,F8-c,F9-n,F10-k,F11-e,F12-e,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-n,F22-v,F23-u
F1-e,F2-b,F3-y,F4-y,F5-t,F6-a,F7-f,F8-c,F9-b,F10-k,F11-e,F12-c,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-n,F22-s,F23-m
F1-e,F2-b,F3-s,F4-y,F5-t,F6-l,F7-f,F8-c,F9-b,F10-g,F11-e,F12-c,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-n,F22-s,F23-m
F1-e,F2-b,F3-y,F4-y,F5-t,F6-l,F7-f,F8-c,F9-b,F10-g,F11-e,F12-c,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-n,F22-n,F23-m
F1-e,F2-b,F3-y,F4-w,F5-t,F6-l,F7-f,F8-c,F9-b,F10-n,F11-e,F12-c,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-n,F22-s,F23-g
F1-e,F2-f,F3-s,F4-n,F5-f,F6-n,F7-f,F8-w,F9-b,F10-k,F11-t,F12-e,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-e,F21-k,F22-a,F23-g
F1-e,F2-x,F3-s,F4-w,F5-t,F6-l,F7-f,F8-c,F9-b,F10-n,F11-e,F12-c,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-k,F22-s,F23-g
F1-e,F2-f,F3-y,F4-y,F5-t,F6-a,F7-f,F8-c,F9-b,F10-w,F11-e,F12-r,F13-s,F14-y,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-n,F22-s,F23-g
F1-e,F2-x,F3-y,F4-y,F5-t,F6-a,F7-f,F8-c,F9-b,F10-w,F11-e,F12-c,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-k,F22-n,F23-g
F1-e,F2-x,F3-f,F4-g,F5-f,F6-n,F7-f,F8-c,F9-n,F10-p,F11-e,F12-e,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-n,F22-v,F23-u
F1-e,F2-f,F3-f,F4-y,F5-t,F6-l,F7-f,F8-w,F9-n,F10-p,F11-t,F12-b,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-n,F22-v,F23-d
F1-e,F2-b,F3-y,F4-w,F5-t,F6-l,F7-f,F8-c,F9-b,F10-g,F11-e,F12-c,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-n,F22-s,F23-m
F1-e,F2-f,F3-f,F4-y,F5-t,F6-l,F7-f,F8-w,F9-n,F10-w,F11-t,F12-b,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-n,F22-v,F23-d
F1-e,F2-x,F3-y,F4-n,F5-t,F6-a,F7-f,F8-c,F9-b,F10-p,F11-e,F12-r,F13-s,F14-y,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-k,F22-s,F23-p
F1-e,F2-b,F3-s,F4-y,F5-t,F6-a,F7-f,F8-c,F9-b,F10-k,F11-e,F12-c,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-k,F22-s,F23-g
F1-e,F2-f,F3-s,F4-y,F5-t,F6-l,F7-f,F8-w,F9-n,F10-p,F11-t,F12-b,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-n,F22-v,F23-d
F1-e,F2-x,F3-s,F4-w,F5-t,F6-l,F7-f,F8-w,F9-n,F10-n,F11-t,F12-b,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-u,F22-v,F23-d
F1-e,F2-f,F3-y,F4-n,F5-t,F6-l,F7-f,F8-c,F9-b,F10-p,F11-e,F12-r,F13-s,F14-y,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-n,F22-y,F23-p
F1-p,F2-x,F3-y,F4-n,F5-t,F6-p,F7-f,F8-c,F9-n,F10-w,F11-e,F12-e,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-n,F22-v,F23-u
F1-e,F2-f,F3-y,F4-n,F5-t,F6-a,F7-f,F8-c,F9-b,F10-n,F11-e,F12-r,F13-s,F14-y,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-n,F22-y,F23-g
F1-e,F2-x,F3-s,F4-n,F5-f,F6-n,F7-f,F8-w,F9-b,F10-k,F11-t,F12-e,F13-f,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-e,F21-n,F22-s,F23-g
F1-p,F2-x,F3-y,F4-w,F5-t,F6-p,F7-f,F8-c,F9-n,F10-w,F11-e,F12-e,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-k,F22-s,F23-g
F1-e,F2-f,F3-f,F4-g,F5-f,F6-n,F7-f,F8-c,F9-n,F10-n,F11-e,F12-e,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-n,F22-y,F23-u
F1-e,F2-x,F3-f,F4-g,F5-f,F6-n,F7-f,F8-w,F9-b,F10-n,F11-t,F12-e,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-e,F21-n,F22-s,F23-g
F1-e,F2-x,F3-y,F4-y,F5-t,F6-l,F7-f,F8-c,F9-b,F10-w,F11-e,F12-r,F13-s,F14-y,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-k,F22-s,F23-g
F1-e,F2-x,F3-s,F4-n,F5-f,F6-n,F7-f,F8-w,F9-b,F10-k,F11-t,F12-e,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-e,F21-k,F22-s,F23-g
F1-e,F2-b,F3-s,F4-w,F5-t,F6-a,F7-f,F8-c,F9-b,F10-w,F11-e,F12-c,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-k,F22-s,F23-g
F1-e,F2-x,F3-s,F4-w,F5-t,F6-l,F7-f,F8-c,F9-b,F10-n,F11-e,F12-c,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-n,F22-s,F23-g
F1-e,F2-f,F3-y,F4-n,F5-t,F6-l,F7-f,F8-c,F9-b,F10-w,F11-e,F12-r,F13-s,F14-y,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-k,F22-y,F23-g
F1-e,F2-s,F3-f,F4-n,F5-f,F6-n,F7-f,F8-c,F9-n,F10-n,F11-e,F12-e,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-n,F22-v,F23-u
F1-e,F2-x,F3-f,F4-n,F5-f,F6-n,F7-f,F8-c,F9-n,F10-n,F11-e,F12-e,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-n,F22-y,F23-u
F1-e,F2-b,F3-s,F4-w,F5-t,F6-l,F7-f,F8-c,F9-b,F10-k,F11-e,F12-c,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-k,F22-s,F23-g
F1-e,F2-x,F3-y,F4-y,F5-t,F6-a,F7-f,F8-c,F9-b,F10-g,F11-e,F12-c,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-k,F22-s,F23-g
F1-e,F2-x,F3-y,F4-y,F5-t,F6-l,F7-f,F8-c,F9-b,F10-g,F11-e,F12-c,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-k,F22-n,F23-m
F1-e,F2-x,F3-s,F4-n,F5-f,F6-n,F7-f,F8-w,F9-b,F10-n,F11-t,F12-e,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-e,F21-n,F22-a,F23-g
F1-e,F2-x,F3-s,F4-w,F5-t,F6-a,F7-f,F8-c,F9-b,F10-g,F11-e,F12-c,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-n,F22-s,F23-g
F1-e,F2-f,F3-y,F4-n,F5-t,F6-l,F7-f,F8-c,F9-b,F10-p,F11-e,F12-r,F13-s,F14-y,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-n,F22-s,F23-g
F1-e,F2-x,F3-s,F4-y,F5-t,F6-a,F7-f,F8-c,F9-b,F10-n,F11-e,F12-c,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-k,F22-n,F23-g
F1-e,F2-b,F3-s,F4-w,F5-t,F6-a,F7-f,F8-c,F9-b,F10-g,F11-e,F12-c,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-n,F22-s,F23-g
F1-e,F2-x,F3-y,F4-w,F5-t,F6-a,F7-f,F8-c,F9-b,F10-g,F11-e,F12-c,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-k,F22-s,F23-g
F1-e,F2-x,F3-f,F4-n,F5-f,F6-n,F7-f,F8-w,F9-b,F10-p,F11-t,F12-e,F13-f,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-e,F21-k,F22-s,F23-g
F1-e,F2-b,F3-s,F4-y,F5-t,F6-l,F7-f,F8-c,F9-b,F10-n,F11-e,F12-c,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-k,F22-n,F23-g
F1-e,F2-f,F3-y,F4-y,F5-t,F6-l,F7-f,F8-c,F9-b,F10-w,F11-e,F12-r,F13-s,F14-y,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-n,F22-s,F23-g
F1-e,F2-x,F3-y,F4-y,F5-t,F6-a,F7-f,F8-c,F9-b,F10-n,F11-e,F12-r,F13-s,F14-y,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-k,F22-y,F23-p
F1-e,F2-b,F3-y,F4-w,F5-t,F6-l,F7-f,F8-c,F9-b,F10-g,F11-e,F12-c,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-n,F22-n,F23-g
F1-e,F2-x,F3-y,F4-y,F5-t,F6-a,F7-f,F8-c,F9-b,F10-n,F11-e,F12-c,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-k,F22-n,F23-m
F1-e,F2-x,F3-y,F4-y,F5-t,F6-a,F7-f,F8-c,F9-b,F10-w,F11-e,F12-r,F13-s,F14-y,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-n,F22-y,F23-g
F1-e,F2-b,F3-y,F4-w,F5-t,F6-l,F7-f,F8-c,F9-b,F10-n,F11-e,F12-c,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-k,F22-s,F23-m
F1-e,F2-b,F3-y,F4-w,F5-t,F6-a,F7-f,F8-c,F9-b,F10-g,F11-e,F12-c,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-n,F22-s,F23-m
F1-e,F2-x,F3-s,F4-y,F5-t,F6-a,F7-f,F8-c,F9-b,F10-k,F11-e,F12-c,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-k,F22-n,F23-m
F1-e,F2-x,F3-s,F4-y,F5-t,F6-l,F7-f,F8-c,F9-b,F10-w,F11-e,F12-c,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-k,F22-n,F23-g
F1-e,F2-s,F3-f,F4-g,F5-f,F6-n,F7-f,F8-c,F9-n,F10-g,F11-e,F12-e,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-k,F22-y,F23-u
F1-e,F2-x,F3-f,F4-w,F5-t,F6-a,F7-f,F8-w,F9-n,F10-w,F11-t,F12-b,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-u,F22-v,F23-d
F1-e,F2-x,F3-s,F4-y,F5-t,F6-a,F7-f,F8-c,F9-b,F10-n,F11-e,F12-c,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-k,F22-n,F23-m
F1-p,F2-x,F3-y,F4-w,F5-t,F6-p,F7-f,F8-c,F9-n,F10-n,F11-e,F12-e,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-n,F22-v,F23-u
F1-e,F2-x,F3-y,F4-y,F5-t,F6-l,F7-f,F8-c,F9-b,F10-p,F11-e,F12-r,F13-s,F14-y,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-n,F22-s,F23-g
F1-e,F2-s,F3-f,F4-g,F5-f,F6-n,F7-f,F8-c,F9-n,F10-p,F11-e,F12-e,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-n,F22-y,F23-u
F1-e,F2-x,F3-y,F4-y,F5-t,F6-l,F7-f,F8-c,F9-b,F10-w,F11-e,F12-r,F13-s,F14-y,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-k,F22-y,F23-g
F1-e,F2-x,F3-s,F4-y,F5-t,F6-l,F7-f,F8-w,F9-n,F10-p,F11-t,F12-b,F13-s,F14-s,F15-w,F16-w,F17-p,F18-w,F19-o,F20-p,F21-u,F22-v,F23-d
